Reference, Value, Footprint, Datasheet, PN
"U2","CCS811","TheLeafSpa:CCS811","","CCS811CT-ND"
"R5","100K","Capacitors_SMD:C_0805_HandSoldering","","R"
"R7","10K","Capacitors_SMD:C_0805_HandSoldering","","R"
"C2","1u","Capacitors_SMD:C_0805_HandSoldering","","C"
"U1","Si7006","TheLeafSpa:Si7006","","SI7006-A20-IM"
"C1",".1u","Capacitors_SMD:C_0805_HandSoldering","","C"
"R1","4K7","Capacitors_SMD:C_0805_HandSoldering","","R"
"R2","4K7","Capacitors_SMD:C_0805_HandSoldering","","R"
"R3","4K7","Capacitors_SMD:C_0805_HandSoldering","","R"
"JP1","Jumper_NO_Small","","","X"
"TH1","OPT","","","X"
"P1","CONN_01X04","","","X"
"P2","CONN_01X03","","","X"
"R4","100K","Capacitors_SMD:C_0805_HandSoldering","","R"
