53,3/28/2017,14:55:22,120,1200,60,900,0,8
9,3/28/2017,14:55:22,
10,3/28/2017,14:58:22,
3,3/28/2017,14:58:22,
0,3/28/2017,14:59:22,23.8, 80.5,690
5,3/28/2017,14:59:22,
6,3/28/2017,14:59:30,
0,3/28/2017,15:1:22,23.6, 79.0,801
5,3/28/2017,15:1:22,
6,3/28/2017,15:1:27,
0,3/28/2017,15:3:22,23.5, 79.7,805
5,3/28/2017,15:3:22,
6,3/28/2017,15:3:27,
0,3/28/2017,15:5:22,23.5, 80.3,810
5,3/28/2017,15:5:22,
6,3/28/2017,15:5:27,
0,3/28/2017,15:7:22,23.5, 80.4,798
5,3/28/2017,15:7:22,
6,3/28/2017,15:7:30,
0,3/28/2017,15:9:22,23.6, 80.7,889
5,3/28/2017,15:9:22,
6,3/28/2017,15:9:27,
1,3/28/2017,15:10:22,
0,3/28/2017,15:11:22,23.6, 80.5,870
5,3/28/2017,15:11:22,
2,3/28/2017,15:11:22,167.3
6,3/28/2017,15:11:27,
0,3/28/2017,15:13:22,23.6, 80.6,835
5,3/28/2017,15:13:22,
6,3/28/2017,15:13:27,
5,3/28/2017,15:15:22,
6,3/28/2017,15:15:27,
